F5iJIXfP7HPu45cLirrdgQ,3
bTdZgjezGUWr0efKKg5ueg,5
Jqi7Y8DJMf9rGRp4AL4qxA,1
0SbeuBlwfAwQseiWkebV0w,5
pYUqnHVhbtE-s57Rdngbfg,5
Gb0W+NIUKaxj3xha8Yt9HQ,2
x3Lz1nkGfZqAqrYC8jLFzw,3
Een3lj+0f3jxdMHa671q3w,5
7JTkZifmDAh1NWohxyAzzA,5
WQtT6HW0Lg7cCFsczODZ3A,2
XRZpaxw4meVICKdzZT35qg,4
TUVZJqSY2rIpAoe5BrPQCA,3
YXz-vKw8zHe6YpvX2yYZQw,1
Iet1WMrSR2cC8v3gpZuO2A,1
n6jJSWXJaQo5gmJdz99G1g,5
L5ktumOPj591szbsd2K1HQ,5
6g6Sv0RYcNaxywJ5UoCcOA,2
mmf3aRz198gbSHyjVPYyiA,4
Q5NxalLrzACTW1WFAxDmcA,5
H2ar+O3uLHov5x6g9Gc5Xg,4
+uhsI4nnHcVHrE4UDn6J+w,3
CNp8tbgIvlsDiLK36Tg07Q,1
EWG5vCS9Jpzo4W0O1pPLAw,5
KLrIH-0q86as-00WLTQkGw,5
xPnNClyylUhofXqN1vLGxg,1
r+71cjv+nFpp+oOqeiNSLA,1
2QNmlpavdhO7YYSXmr4+7w,2
R30-N2asd-twnvdaJC-5iw,1
e0S2T57JuvrjeTjtpFyflg,2
sPbiie10WkttB6BBB+w6og,1
aOLzQp9lmqGZwMs5xygamA,1
A2PBIB3shDakMnaIlmPOiw,1
myJbOhTYv-R-XgZEHZSoEw,4
zYKijZBdTNW1P9jp6mRlMQ,2
2dlWI54sZna1YuJ+AcIPgQ,1
j8pOab6PmoFy6lOiKi+B5A,5
t9q6lR6FJYj1n2WB24pxDQ,2
gL4xYqk-SUg88MXU-J8s0g,4
H8s4FqSNpzUxJM9Iq0PvUw,5
ivBedHFMnx34NGaMhfBEfw,3
MHzi0hUfdu1r96TTDrBXhg,1
